elevation,point_id,slope,longitude,latitude,clay,land_cover,annual_rainfall,NDVI,sand,silt,soc,K,LS,C,P,R,soil_loss
571,1,1.9479624032974243,78.80939028424365,17.84269667856602,26,30,1135.016410316457,0.3810965418815613,51,23,2,0.029826789585390038,0.6775683670254856,0.29184811313997405,1,491.0109569448739,2.8960610064821886
571,2,0.974200427532196,78.80777331673227,17.83137790598611,29,40,1135.016410316457,0.5207893252372742,48,23,2,0.029932318980145325,0.5134876602881694,0.11377531072244318,1,491.0109569448739,0.8586369822062174
572,3,2.1571531295776367,78.8104682625846,17.84242718398078,26,40,1135.016410316457,0.4265226125717163,51,23,2,0.029826789585390038,0.705811030093626,0.22593773313219817,1,491.0109569448739,2.335473275868564
544,4,2.6883108615875244,78.78540526615768,17.82383205759951,32,10,1151.2951368041395,0.5256152153015137,45,23,2,0.03009274375958627,0.7708560440384538,0.10904585248405525,1,496.9201346599026,1.2569870843272979
550,5,2.9202377796173096,78.79052566327715,17.824371046769983,33,40,1151.2951368041395,0.5580975413322449,44,23,2,0.0301580557278245,0.7968411316535245,0.0799874398761391,1,496.9201346599026,0.9551761588156542
565,6,0.9274099469184875,78.80319190878322,17.847278086515026,30,40,1135.016410316457,0.23180076479911804,46,24,2,0.030555158406844272,0.5034748895187708,0.5468989290832021,1,491.0109569448739,4.131051520724754
542,7,2.7802884578704834,78.78378829864624,17.8230235738438,35,40,1151.2951368041395,0.410567045211792,42,23,2,0.0303060877726832,0.781315268995993,0.24830645574863788,1,496.9201346599026,2.9216675269593115
561,8,3.3929922580718994,78.79968847917519,17.836498303105593,31,40,1151.2951368041395,0.35852450132369995,47,22,2,0.029450829852146646,0.8462337186008704,0.32699448020283256,1,496.9201346599026,4.049625649585321
556,9,1.947938084602356,78.79349010371476,17.840540721884132,31,30,1151.2951368041395,0.21370097994804382,46,23,2,0.03003330628227257,0.6775649808524478,0.5806764231093424,1,496.9201346599026,5.871849073427923
554,10,2.157043695449829,78.79133414703284,17.83137790598611,31,40,1151.2951368041395,0.4614850580692291,46,23,2,0.03003330628227257,0.7057966937862951,0.18015865928401467,1,496.9201346599026,1.8976866403381563
560,11,3.3930323123931885,78.79375959829997,17.84269667856602,31,30,1151.2951368041395,0.07909942418336868,46,23,2,0.03003330628227257,0.846237723864639,0.8421584413334839,1,496.9201346599026,10.635941183155097
554,12,2.1572108268737793,78.79645454415237,17.84835606485597,32,30,1151.2951368041395,0.6451369524002075,46,22,2,0.02950457576222098,0.7058185884945829,0.026358167971710426,1,496.9201346599026,0.2727622609691523
557,13,0.9274099469184875,78.79187313620332,17.840540721884132,31,40,1151.2951368041395,0.2933819591999054,46,23,2,0.03003330628227257,0.5034748895187708,0.43588212030423673,1,496.9201346599026,3.2751908303767663
551,14,0.9274099469184875,78.79160364161811,17.824371046769983,31,30,1151.2951368041395,0.3298627436161041,45,24,2,0.030614290023118454,0.5034748895187708,0.37363973212563917,1,496.9201346599026,2.8618156460639357
